Global_AMRscore,Global_AMRclass,Global_AMRgene,Global_VFscore,China_AMRscore,China_AMRclass,China_AMRgene,China_VFscore,Africa_AMRscore,Africa_AMRclass,Africa_AMRgene,Africa_VFscore,EU_AMRscore,EU_AMRclass,EU_AMRgene,EU_VFscore,USA_AMRscore,USA_AMRclass,USA_AMRgene,USA_VFscore
0.92,4.36,6.42,0.64,1.16,6.85,12.78,1.14,1.2,6.37,10.04,0.79,0.54,3.05,4.05,0.49,0.47,2.45,3.47,0.41
0.77,4.25,7.02,0.52,1.28,6.94,11.84,1.34,1.14,6.06,9.63,0.73,0.81,3.18,4.35,0.45,0.52,2.79,3.87,0.43
0.6,3.81,6.07,0.43,1.28,7.42,12.88,1.23,1.09,5.83,9.34,0.73,0.73,3.64,5.04,0.63,0.5,2.54,3.68,0.37
0.64,3.64,5.67,0.68,1.2,7.35,13.18,1.04,0.98,5.61,8.88,0.75,0.5,2.84,4.01,0.74,0.58,2.79,3.77,0.49
0.84,4.28,6.86,0.69,1.21,7.01,12.09,1.43,1.12,5.98,9.75,0.71,0.5,2.79,3.77,0.48,0.67,3.25,4.5,0.5
0.71,4.05,6.33,0.65,1.3,7.2,13.15,1.16,1.02,5.9,9.15,0.69,0.71,3.21,4.35,0.44,0.51,2.45,3.26,0.44
0.62,3.88,6.28,0.48,1.35,7.63,12.6,1.31,1.09,6.07,9.84,0.72,0.74,3.08,4.5,0.47,0.36,2.04,2.89,0.26
0.88,4.8,7.52,0.75,1.25,6.95,12.13,1.22,1.09,5.88,9.54,0.74,0.75,3.4,4.69,0.46,0.47,2.59,3.68,0.44
0.73,4.21,6.51,0.54,1.23,6.69,10.65,1.04,1.14,6.09,9.34,0.8,0.66,2.94,4.37,0.56,0.68,2.86,3.88,0.4
0.73,4.0,6.15,0.39,1.22,7.5,14.3,0.95,1.09,5.75,9.12,0.81,0.72,3.46,4.88,0.64,0.56,2.61,3.69,0.38
0.67,4.09,6.11,0.83,1.16,7.02,12.55,1.11,1.14,6.25,9.75,0.77,0.52,2.59,3.64,0.49,0.4,2.35,3.3,0.27
0.72,4.01,6.07,0.66,1.38,7.61,13.09,0.73,1.14,6.05,9.56,0.76,0.73,3.14,4.33,0.42,0.51,2.62,3.43,0.33
0.82,4.44,6.95,0.59,1.05,6.34,10.26,0.9,1.02,5.89,9.06,0.61,0.48,3.1,4.12,0.57,0.43,2.52,3.65,0.4
0.74,4.38,6.61,0.82,1.33,7.59,13.43,0.97,1.06,5.94,8.89,0.55,0.66,2.75,3.84,0.69,0.45,2.4,3.34,0.47
0.8,4.35,7.12,0.74,1.29,7.23,12.38,1.32,1.09,5.88,9.39,0.78,0.64,3.21,4.49,0.47,0.56,2.86,3.91,0.45
0.79,4.57,7.2,0.64,1.13,6.8,12.73,1.19,1.1,6.17,9.78,0.79,0.69,3.21,4.66,0.5,0.53,2.3,3.28,0.44
0.6,3.52,5.45,0.63,1.24,7.1,13.14,1.23,1.08,5.99,9.47,0.68,0.7,3.26,4.63,0.67,0.44,2.22,3.03,0.36
0.8,3.99,6.47,0.71,1.28,6.94,12.05,1.41,1.08,6.15,9.86,0.7,0.56,2.65,3.53,0.39,0.5,2.48,3.63,0.35
0.75,4.02,6.5,0.67,1.17,6.91,12.37,1.18,1.08,5.85,9.08,0.79,0.75,3.56,4.84,0.41,0.48,2.44,3.53,0.18
0.76,4.45,7.49,0.56,1.24,8.07,15.16,0.83,1.12,6.09,9.65,0.72,0.68,3.73,5.39,0.66,0.44,2.28,3.17,0.35
0.66,3.75,6.01,0.58,1.26,7.17,12.91,1.06,1.1,6.08,9.77,0.67,0.6,2.83,3.76,0.54,0.52,2.53,3.43,0.45
0.71,4.47,7.58,0.81,1.27,7.0,11.47,1.11,1.05,5.97,9.3,0.53,0.7,2.73,3.67,0.48,0.56,2.71,3.74,0.36
0.74,4.28,6.7,0.57,1.18,7.22,12.72,1.01,1.17,5.86,9.05,0.77,0.61,3.34,4.91,0.68,0.38,1.93,2.73,0.23
0.68,3.91,6.47,0.52,1.33,7.3,12.55,1.31,1.14,5.88,8.77,0.62,0.58,2.94,4.05,0.7,0.31,2.12,2.93,0.34
0.74,4.13,7.06,0.56,1.17,6.84,11.45,1.23,1.14,6.37,9.94,0.68,0.51,2.66,3.49,0.35,0.51,2.34,3.32,0.37
0.76,4.41,6.68,0.7,1.43,7.29,12.65,1.38,1.13,6.09,9.42,0.74,0.56,3.82,5.71,0.65,0.54,2.7,3.91,0.34
0.71,3.99,6.13,0.68,1.15,6.57,11.46,0.73,1.03,5.83,8.65,0.53,0.62,3.71,5.42,0.45,0.68,2.97,4.17,0.35
0.79,4.51,7.42,0.59,1.19,7.42,13.27,1.15,1.14,6.11,9.7,0.7,0.56,3.1,4.43,0.44,0.48,2.09,2.82,0.33
0.82,4.3,7.06,0.56,1.17,7.58,12.93,1.1,1.04,5.8,9.16,0.66,0.56,3.21,4.27,0.52,0.63,2.87,4.13,0.29
