Global_AMRscore,Global_AMRclass,Global_AMRgene,Global_VFscore,China_AMRscore,China_AMRclass,China_AMRgene,China_VFscore,Africa_AMRscore,Africa_AMRclass,Africa_AMRgene,Africa_VFscore,Europe_AMRscore,Europe_AMRclass,Europe_AMRgene,Europe_VFscore,USA_AMRscore,USA_AMRclass,USA_AMRgene,USA_VFscore
1.485,6.035,8.453,1.226,1.587,6.34,8.262,2.234,1.278,7.03,10.921,0.734,1.506,5.765,8.092,0.803,1.566,5.984,8.534,1.009
1.46,6.057,8.602,1.285,1.52,6.146,8.034,2.343,1.275,6.966,10.844,0.732,1.508,5.818,8.322,0.779,1.632,6.115,8.573,0.977
1.44,6.038,8.462,1.269,1.566,6.175,7.919,2.261,1.279,6.976,10.732,0.709,1.553,5.979,8.495,0.762,1.582,6.071,8.594,1.031
1.424,5.926,8.382,1.309,1.539,6.025,7.789,2.201,1.288,7.039,10.898,0.738,1.454,5.831,8.274,0.776,1.593,5.89,8.161,0.981
1.465,6.018,8.317,1.22,1.559,6.123,7.859,2.303,1.294,7.031,10.921,0.727,1.473,5.849,8.224,0.792,1.557,6.063,8.56,0.986
1.495,6.094,8.522,1.168,1.51,6.115,7.896,2.305,1.273,6.933,10.72,0.72,1.446,5.717,8.118,0.751,1.598,6.149,8.77,1.008
1.431,5.965,8.375,1.157,1.56,6.229,8.215,2.315,1.267,7.034,10.957,0.697,1.434,5.743,8.14,0.794,1.675,6.139,8.593,1.001
1.437,5.957,8.411,1.207,1.559,6.251,8.028,2.194,1.302,7.064,10.874,0.741,1.482,5.729,8.14,0.768,1.558,6.045,8.59,0.998
1.487,6.03,8.527,1.219,1.536,6.286,8.322,2.331,1.258,6.984,10.802,0.701,1.485,5.683,8.066,0.708,1.556,6.049,8.522,1.022
1.475,6.046,8.488,1.121,1.496,6.093,8.009,2.238,1.3,7.12,11.068,0.759,1.452,5.653,8.042,0.752,1.587,6.146,8.717,1.048
1.48,5.951,8.372,1.163,1.511,6.067,8.013,2.344,1.272,7.006,10.844,0.711,1.478,5.684,8.116,0.735,1.637,6.142,8.545,0.967
1.427,5.927,8.3,1.165,1.52,6.03,7.817,2.372,1.288,7.062,10.889,0.733,1.5,5.777,8.238,0.827,1.599,6.027,8.511,0.974
1.392,5.817,8.302,1.186,1.498,6.17,8.068,2.239,1.282,7.053,10.857,0.738,1.472,5.751,8.08,0.776,1.595,6.051,8.511,1.002
1.46,5.949,8.3,1.284,1.576,6.306,8.182,2.324,1.268,6.998,10.884,0.697,1.498,5.763,8.127,0.712,1.583,5.911,8.276,0.97
1.468,6.014,8.319,1.171,1.506,5.995,7.838,2.259,1.275,6.965,10.701,0.728,1.477,5.78,8.221,0.783,1.565,6.028,8.481,0.987
1.433,5.98,8.521,1.204,1.544,6.082,7.884,2.309,1.3,7.112,10.957,0.724,1.481,5.754,8.286,0.756,1.581,5.989,8.328,0.969
1.451,5.988,8.435,1.324,1.567,6.187,8.053,2.39,1.248,6.982,10.745,0.742,1.467,5.66,8.045,0.706,1.58,6.102,8.537,1.023
1.469,6.053,8.503,1.271,1.517,6.032,7.765,2.353,1.295,7.167,11.043,0.724,1.498,5.913,8.467,0.758,1.57,5.933,8.327,0.944
1.468,6.017,8.404,1.245,1.492,6.032,7.806,2.325,1.269,7.101,11.119,0.736,1.468,5.784,8.37,0.789,1.552,6.037,8.48,0.982
1.458,6.033,8.393,1.182,1.566,6.243,8.159,2.368,1.289,7.082,10.865,0.744,1.463,5.624,7.921,0.769,1.602,6.023,8.388,1.03
1.446,6.141,8.823,1.256,1.525,6.154,8.144,2.287,1.301,7.058,10.832,0.735,1.513,5.906,8.311,0.779,1.593,6.045,8.471,0.998
1.425,5.878,8.205,1.291,1.568,6.214,8.121,2.348,1.28,6.987,10.931,0.735,1.467,5.609,7.842,0.744,1.564,6.063,8.549,0.993
1.429,5.837,8.143,1.305,1.52,6.049,7.746,2.296,1.261,6.898,10.661,0.689,1.46,5.654,8.014,0.748,1.605,6.102,8.634,1.064
1.503,6.141,8.677,1.262,1.579,6.257,8.076,2.333,1.277,7.018,10.866,0.739,1.437,5.753,8.206,0.723,1.557,5.975,8.431,0.958
1.434,5.877,8.2,1.164,1.517,6.002,7.634,2.246,1.319,7.064,10.971,0.723,1.485,5.883,8.396,0.808,1.607,6.067,8.503,0.994
1.465,5.973,8.292,1.256,1.51,6.109,7.972,2.334,1.255,6.951,10.698,0.706,1.424,5.706,8.084,0.81,1.619,6.114,8.65,1.077
1.42,5.88,8.24,1.187,1.488,6.053,7.74,2.295,1.283,7.098,10.944,0.759,1.492,5.835,8.236,0.771,1.609,6.168,8.777,0.92
1.429,5.75,7.865,1.352,1.543,6.112,7.911,2.257,1.271,7.033,10.888,0.747,1.472,5.66,8.036,0.795,1.625,5.965,8.52,0.989
1.425,5.908,8.36,1.274,1.524,6.071,7.965,2.251,1.323,7.098,11.019,0.713,1.492,5.836,8.253,0.81,1.645,6.135,8.528,1.039
