strain,Mash_cluster,Source
GCA_028681895.1_ASM2868189v1_genomic.fasta,2319,Animal
GCA_030852305.1_ASM3085230v1_genomic.fasta,3181,Animal
GCA_020251495.1_P8-U56_genomic.fasta,845,Human
GCA_004127855.1_ASM412785v1_genomic.fasta,5438,Animal
GCA_021414385.1_ASM2141438v1_genomic.fasta,2407,Human
GCA_040986845.1_ASM4098684v1_genomic.fasta,1000,Human
GCA_024355635.1_ASM2435563v1_genomic.fasta,189,Human
GCA_023739495.1_ASM2373949v1_genomic.fasta,2990,Human
GCA_025920065.1_ASM2592006v1_genomic.fasta,1530,Food
GCA_023740835.1_ASM2374083v1_genomic.fasta,3399,Human
GCA_040982855.1_ASM4098285v1_genomic.fasta,3229,Animal
GCA_016753075.1_ASM1675307v1_genomic.fasta,4458,Human
GCA_034742635.1_ASM3474263v1_genomic.fasta,1253,Environment
GCA_034741655.1_ASM3474165v1_genomic.fasta,2142,Food
GCA_004127435.1_ASM412743v1_genomic.fasta,5420,Animal
GCA_034259285.1_ASM3425928v1_genomic.fasta,3233,Animal
GCA_034741475.1_ASM3474147v1_genomic.fasta,2753,Human
GCA_015277915.1_ASM1527791v1_genomic.fasta,2459,Animal
GCA_032740875.1_ASM3274087v1_genomic.fasta,218,Environment
GCA_022851625.1_ASM2285162v1_genomic.fasta,4723,Human
GCA_902508095.1_ZKP13_genomic.fasta,5182,Human
GCA_034742035.1_ASM3474203v1_genomic.fasta,1031,Environment
GCA_040982035.1_ASM4098203v1_genomic.fasta,3626,Animal
GCA_026615595.1_ASM2661559v1_genomic.fasta,210,Human
GCA_041042565.1_ASM4104256v1_genomic.fasta,924,Human
GCA_034735095.1_ASM3473509v1_genomic.fasta,574,Human
GCA_902508995.1_ZKP167_genomic.fasta,2536,Human
GCA_034363765.1_ASM3436376v1_genomic.fasta,4451,Human
GCA_020478635.1_ASM2047863v1_genomic.fasta,225,Human
GCA_026197295.1_ASM2619729v1_genomic.fasta,1901,Human
GCA_901001095.1_COK135_genomic.fasta,1730,Human
GCA_037104615.1_ASM3710461v1_genomic.fasta,4515,Human
GCA_024433955.1_ASM2443395v1_genomic.fasta,1889,Human
GCA_040988285.1_ASM4098828v1_genomic.fasta,5072,Human
GCA_030271875.1_ASM3027187v1_genomic.fasta,2553,Animal
GCA_021414645.1_ASM2141464v1_genomic.fasta,5148,Human
GCA_030443575.1_ASM3044357v1_genomic.fasta,2299,Environment
GCA_018274705.1_ASM1827470v1_genomic.fasta,20,Human
GCA_029914825.1_ASM2991482v1_genomic.fasta,4697,Human
GCA_027437215.1_ASM2743721v1_genomic.fasta,5385,Environment
GCA_020479685.1_ASM2047968v1_genomic.fasta,823,Human
GCA_040982655.1_ASM4098265v1_genomic.fasta,395,Animal
GCA_035871705.1_ASM3587170v1_genomic.fasta,3076,Animal
GCA_026586465.1_ASM2658646v1_genomic.fasta,1351,Human
GCA_015353095.1_ASM1535309v1_genomic.fasta,5349,Animal
GCA_036912535.1_ASM3691253v1_genomic.fasta,671,Human
GCA_034739895.1_ASM3473989v1_genomic.fasta,1076,Human
GCA_014040875.1_ASM1404087v1_genomic.fasta,4276,Environment
GCA_037076055.1_ASM3707605v1_genomic.fasta,3327,Animal
GCA_012167385.1_ASM1216738v1_genomic.fasta,1148,Food
GCA_018449045.1_ASM1844904v1_genomic.fasta,2654,Animal
GCA_023893555.1_ASM2389355v1_genomic.fasta,4173,Human
GCA_024517905.1_ASM2451790v1_genomic.fasta,234,Animal
GCA_024516605.1_ASM2451660v1_genomic.fasta,2771,Animal
GCA_012113655.1_ASM1211365v1_genomic.fasta,5790,Food
GCA_022853885.1_ASM2285388v1_genomic.fasta,4774,Human
GCA_034743545.1_ASM3474354v1_genomic.fasta,5759,Environment
GCA_024359285.1_ASM2435928v1_genomic.fasta,1916,Human
GCA_036912395.1_ASM3691239v1_genomic.fasta,2041,Human
GCA_007997815.1_ASM799781v1_genomic.fasta,4586,Human
GCA_034742655.1_ASM3474265v1_genomic.fasta,2383,Environment
GCA_016750365.1_ASM1675036v1_genomic.fasta,3960,Human
GCA_021899475.1_PDT001167505.1_genomic.fasta,3287,Human
GCA_034398255.1_ASM3439825v1_genomic.fasta,4534,Human
GCA_037076125.1_ASM3707612v1_genomic.fasta,5821,Animal
GCA_021949435.1_PDT001100904.1_genomic.fasta,5466,Human
GCA_030852265.1_ASM3085226v1_genomic.fasta,695,Animal
GCA_014286745.1_ASM1428674v1_genomic.fasta,388,Human
GCA_040986465.1_ASM4098646v1_genomic.fasta,4969,Human
GCA_021395835.1_ASM2139583v1_genomic.fasta,2493,Animal
GCA_034729555.1_ASM3472955v1_genomic.fasta,538,Human
GCA_037075725.1_ASM3707572v1_genomic.fasta,5825,Animal
GCA_026274795.1_ASM2627479v1_genomic.fasta,1426,Animal
GCA_014526145.1_ASM1452614v1_genomic.fasta,2454,Animal
GCA_038376325.1_ASM3837632v1_genomic.fasta,3422,Human
GCA_008867515.1_ASM886751v1_genomic.fasta,4808,Human
GCA_034743565.1_ASM3474356v1_genomic.fasta,1524,Environment
GCA_036329225.1_ASM3632922v1_genomic.fasta,3711,Human
GCA_033117575.1_PDT001958757.1_genomic.fasta,4364,Human
GCA_022858785.1_ASM2285878v1_genomic.fasta,4599,Human
GCA_021955025.1_PDT001020346.1_genomic.fasta,4732,Human
GCA_022402185.1_ASM2240218v1_genomic.fasta,1226,Human
GCA_034565915.1_ASM3456591v1_genomic.fasta,3641,Animal
GCA_008923195.1_ASM892319v1_genomic.fasta,734,Animal
GCA_003323985.1_ASM332398v1_genomic.fasta,3720,Human
GCA_026615735.1_ASM2661573v1_genomic.fasta,5671,Human
GCA_039681455.1_ASM3968145v1_genomic.fasta,27,Animal
GCA_021898975.1_PDT001167533.1_genomic.fasta,123,Human
GCA_035621275.1_ASM3562127v1_genomic.fasta,2424,Human
GCA_034735035.1_ASM3473503v1_genomic.fasta,792,Human
GCA_032743135.1_ASM3274313v1_genomic.fasta,3379,Environment
GCA_026236155.1_ASM2623615v1_genomic.fasta,5807,Environment
GCA_026020015.1_PDT001474901.1_genomic.fasta,588,Environment
GCA_041041165.1_ASM4104116v1_genomic.fasta,4866,Human
GCA_026586295.1_ASM2658629v1_genomic.fasta,1344,Human
GCA_022857795.1_ASM2285779v1_genomic.fasta,4523,Human
GCA_024435035.1_ASM2443503v1_genomic.fasta,209,Human
GCA_040984605.1_ASM4098460v1_genomic.fasta,3950,Human
GCA_902508935.1_ZKP143_genomic.fasta,1213,Human
GCA_024516485.1_ASM2451648v1_genomic.fasta,2385,Animal
GCA_034742715.1_ASM3474271v1_genomic.fasta,46,Environment
GCA_034741195.1_ASM3474119v1_genomic.fasta,284,Human
GCA_030291515.1_ASM3029151v1_genomic.fasta,5619,Animal
GCA_019402005.1_ASM1940200v1_genomic.fasta,2945,Animal
GCA_003345475.1_ASM334547v1_genomic.fasta,744,Environment
GCA_033807375.1_ASM3380737v1_genomic.fasta,3863,Human
GCA_039573325.1_ASM3957332v1_genomic.fasta,5598,Human
GCA_024238035.1_ASM2423803v1_genomic.fasta,1087,Human
GCA_024516745.1_ASM2451674v1_genomic.fasta,2441,Animal
GCA_029526465.1_ASM2952646v1_genomic.fasta,2644,Human
GCA_041031145.1_ASM4103114v1_genomic.fasta,3571,Human
GCA_001482345.1_ASM148234v1_genomic.fasta,634,Environment
GCA_024517405.1_ASM2451740v1_genomic.fasta,54,Animal
GCA_040981905.1_ASM4098190v1_genomic.fasta,3622,Animal
GCA_024517455.1_ASM2451745v1_genomic.fasta,498,Animal
GCA_024517885.1_ASM2451788v1_genomic.fasta,2433,Animal
GCA_032816155.1_ASM3281615v1_genomic.fasta,2069,Environment
GCA_002811535.1_ASM281153v1_genomic.fasta,2979,Environment
GCA_028472725.1_ASM2847272v1_genomic.fasta,1682,Human
GCA_020477495.1_ASM2047749v1_genomic.fasta,5356,Human
GCA_014282835.1_ASM1428283v1_genomic.fasta,2509,Human
GCA_005503905.1_ASM550390v1_genomic.fasta,5510,Human
GCA_024240555.1_ASM2424055v1_genomic.fasta,2077,Human
GCA_947647955.1_SRR17794283_bin.30_metawrap_v1.3_MAG_genomic.fasta,2334,Animal
GCA_038374905.1_ASM3837490v1_genomic.fasta,1927,Human
GCA_004208475.1_ASM420847v1_genomic.fasta,5589,Animal
GCA_022760595.1_ASM2276059v1_genomic.fasta,3862,Human
GCA_020177935.1_ASM2017793v1_genomic.fasta,4544,Environment
GCA_021395765.1_ASM2139576v1_genomic.fasta,167,Animal
GCA_033119605.1_PDT001958664.1_genomic.fasta,1095,Human
GCA_902507325.1_F11_genomic.fasta,1401,Human
GCA_030444305.1_ASM3044430v1_genomic.fasta,4208,Environment
GCA_031796435.1_ASM3179643v1_genomic.fasta,4379,Human
GCA_026198295.1_ASM2619829v1_genomic.fasta,2931,Human
GCA_024435275.1_ASM2443527v1_genomic.fasta,716,Human
GCA_034361325.1_ASM3436132v1_genomic.fasta,4090,Human
GCA_023740215.1_ASM2374021v1_genomic.fasta,2194,Human
GCA_002257925.1_ASM225792v1_genomic.fasta,5363,Human
GCA_034743785.1_ASM3474378v1_genomic.fasta,3304,Environment
GCA_037075765.1_ASM3707576v1_genomic.fasta,3321,Animal
GCA_026614575.1_ASM2661457v1_genomic.fasta,5584,Animal
GCA_031797935.1_ASM3179793v1_genomic.fasta,4750,Human
GCA_022859795.1_ASM2285979v1_genomic.fasta,3858,Human
GCA_026162405.1_ASM2616240v1_genomic.fasta,2462,Human
GCA_026624205.1_ASM2662420v1_genomic.fasta,3256,Human
GCA_034743735.1_ASM3474373v1_genomic.fasta,422,Environment
GCA_034720025.1_ASM3472002v1_genomic.fasta,2336,Human
GCA_006130415.1_ASM613041v1_genomic.fasta,4348,Human
GCA_032741535.1_ASM3274153v1_genomic.fasta,119,Environment
GCA_021395755.1_ASM2139575v1_genomic.fasta,2484,Animal
GCA_026626045.1_ASM2662604v1_genomic.fasta,5628,Animal
GCA_034395475.1_ASM3439547v1_genomic.fasta,4950,Human
GCA_902507135.1_D11_genomic.fasta,1747,Human
GCA_032741695.1_ASM3274169v1_genomic.fasta,5882,Environment
GCA_026236115.1_ASM2623611v1_genomic.fasta,932,Environment
GCA_023741175.1_ASM2374117v1_genomic.fasta,5513,Human
GCA_032742895.1_ASM3274289v1_genomic.fasta,5591,Environment
GCA_029092265.1_PDT001653450.1_genomic.fasta,4238,Human
GCA_034743215.1_ASM3474321v1_genomic.fasta,68,Environment
GCA_902506885.1_A11_genomic.fasta,1674,Human
GCA_030534295.1_ASM3053429v1_genomic.fasta,2326,Animal
GCA_026620015.1_ASM2662001v1_genomic.fasta,2185,Human
GCA_902649665.1_Kp_13930_genomic.fasta,5301,Human
GCA_019823875.1_ASM1982387v1_genomic.fasta,4790,Human
GCA_901001065.1_COK147_genomic.fasta,1809,Human
GCA_036417685.1_ASM3641768v1_genomic.fasta,871,Environment
GCA_021395255.1_ASM2139525v1_genomic.fasta,2021,Animal
GCA_024240155.1_ASM2424015v1_genomic.fasta,3167,Human
GCA_040981845.1_ASM4098184v1_genomic.fasta,3625,Animal
GCA_002811525.1_ASM281152v1_genomic.fasta,5575,Environment
GCA_018275065.1_ASM1827506v1_genomic.fasta,366,Human
GCA_029677315.1_ASM2967731v1_genomic.fasta,5498,Animal
GCA_011077405.1_ASM1107740v1_genomic.fasta,3618,Animal
GCA_040988785.1_ASM4098878v1_genomic.fasta,761,Human
GCA_041033145.1_ASM4103314v1_genomic.fasta,1198,Human
GCA_037137355.1_ASM3713735v1_genomic.fasta,1384,Environment
GCA_040982815.1_ASM4098281v1_genomic.fasta,907,Animal
GCA_040986825.1_ASM4098682v1_genomic.fasta,5041,Human
GCA_031798615.1_ASM3179861v1_genomic.fasta,4414,Human
GCA_025176665.1_ASM2517666v1_genomic.fasta,1462,Animal
GCA_033113725.1_PDT001958940.1_genomic.fasta,4094,Human
GCA_002173825.1_ASM217382v1_genomic.fasta,1435,Human
GCA_019334625.1_ASM1933462v1_genomic.fasta,2757,Animal
GCA_021955925.1_PDT001020295.1_genomic.fasta,5101,Human
GCA_902508235.1_ZKP52_genomic.fasta,1207,Human
GCA_040983015.1_ASM4098301v1_genomic.fasta,2699,Animal
GCA_034743755.1_ASM3474375v1_genomic.fasta,1249,Environment
GCA_034814205.1_ASM3481420v1_genomic.fasta,111,Human
GCA_026614635.1_ASM2661463v1_genomic.fasta,5501,Animal
GCA_021956245.1_PDT001020281.1_genomic.fasta,4622,Human
GCA_020023465.1_ASM2002346v1_genomic.fasta,5474,Animal
GCA_024517645.1_ASM2451764v1_genomic.fasta,3619,Animal
GCA_026198575.1_ASM2619857v1_genomic.fasta,4844,Human
GCA_021961405.1_PDT001020040.1_genomic.fasta,5343,Human
GCA_040688835.1_ASM4068883v1_genomic.fasta,4556,Human
GCA_014526115.1_ASM1452611v1_genomic.fasta,5676,Animal
GCA_003664915.1_ASM366491v1_genomic.fasta,1094,Animal
GCA_024516905.1_ASM2451690v1_genomic.fasta,5654,Animal
GCA_030192785.1_ASM3019278v1_genomic.fasta,2452,Animal
GCA_026198655.1_ASM2619865v1_genomic.fasta,981,Human
GCA_011077845.1_ASM1107784v1_genomic.fasta,3204,Animal
GCA_014526215.1_ASM1452621v1_genomic.fasta,2427,Animal
GCA_002264425.1_ASM226442v1_genomic.fasta,2952,Human
GCA_016755515.1_ASM1675551v1_genomic.fasta,3941,Human
GCA_033114625.1_PDT001958895.1_genomic.fasta,4972,Human
GCA_034394435.1_ASM3439443v1_genomic.fasta,3988,Human
GCA_902508115.1_ZKP17_genomic.fasta,1970,Human
GCA_004127625.1_ASM412762v1_genomic.fasta,5611,Animal
GCA_009902085.1_ASM990208v1_genomic.fasta,4975,Human
GCA_024434375.1_ASM2443437v1_genomic.fasta,702,Human
GCA_034733635.1_ASM3473363v1_genomic.fasta,1698,Human
GCA_002811585.1_ASM281158v1_genomic.fasta,2977,Environment
GCA_030441675.1_ASM3044167v1_genomic.fasta,2150,Environment
GCA_026198085.1_ASM2619808v1_genomic.fasta,1513,Human
GCA_034743175.1_ASM3474317v1_genomic.fasta,1159,Environment
GCA_040982615.1_ASM4098261v1_genomic.fasta,396,Animal
GCA_014526175.1_ASM1452617v1_genomic.fasta,2426,Animal
GCA_034742815.1_ASM3474281v1_genomic.fasta,3259,Environment
GCA_014285355.1_ASM1428535v1_genomic.fasta,2570,Human
GCA_024734155.1_ASM2473415v1_genomic.fasta,5677,Human
GCA_033117675.1_PDT001958752.1_genomic.fasta,4505,Human
GCA_021968515.1_PDT001019665.1_genomic.fasta,5035,Human
GCA_007995885.1_ASM799588v1_genomic.fasta,4015,Human
GCA_038375045.1_ASM3837504v1_genomic.fasta,859,Human
GCA_039573945.1_ASM3957394v1_genomic.fasta,2601,Human
GCA_033802845.1_ASM3380284v1_genomic.fasta,2449,Human
GCA_002844935.1_ASM284493v1_genomic.fasta,4836,Human
GCA_028681865.1_ASM2868186v1_genomic.fasta,3242,Animal
GCA_027658665.1_ASM2765866v1_genomic.fasta,106,Human
GCA_018449295.1_ASM1844929v1_genomic.fasta,44,Environment
GCA_034085945.1_ASM3408594v1_genomic.fasta,4261,Environment
GCA_901001325.1_COK237_genomic.fasta,1766,Human
GCA_029915185.1_ASM2991518v1_genomic.fasta,5083,Human
GCA_020294365.1_ASM2029436v1_genomic.fasta,2680,Human
GCA_015277935.1_ASM1527793v1_genomic.fasta,571,Animal
GCA_004127675.1_ASM412767v1_genomic.fasta,3706,Animal
GCA_034742415.1_ASM3474241v1_genomic.fasta,5578,Environment
GCA_039574285.1_ASM3957428v1_genomic.fasta,2378,Human
GCA_021395565.1_ASM2139556v1_genomic.fasta,2437,Animal
GCA_039681715.1_ASM3968171v1_genomic.fasta,1950,Animal
GCA_001549995.1_ASM154999v1_genomic.fasta,953,Animal
GCA_040282925.1_ASM4028292v1_genomic.fasta,3819,Human
GCA_039575905.1_ASM3957590v1_genomic.fasta,2355,Human
GCA_041032465.1_ASM4103246v1_genomic.fasta,3654,Human
GCA_031795025.1_ASM3179502v1_genomic.fasta,3780,Human
GCA_040138345.1_ASM4013834v1_genomic.fasta,5535,Animal
GCA_024517925.1_ASM2451792v1_genomic.fasta,222,Animal
GCA_035828675.1_ASM3582867v1_genomic.fasta,663,Animal
GCA_040982675.1_ASM4098267v1_genomic.fasta,2431,Animal
GCA_024425295.1_ASM2442529v1_genomic.fasta,2113,Animal
GCA_024517365.1_ASM2451736v1_genomic.fasta,662,Animal
GCA_012113615.1_ASM1211361v1_genomic.fasta,2279,Food
GCA_019050455.1_ASM1905045v1_genomic.fasta,4064,Human
GCA_017291835.1_ASM1729183v1_genomic.fasta,4103,Human
GCA_041090495.1_ASM4109049v1_genomic.fasta,642,Animal
GCA_024516885.1_ASM2451688v1_genomic.fasta,3103,Animal
GCA_039042515.1_ASM3904251v1_genomic.fasta,4612,Human
GCA_040688445.1_ASM4068844v1_genomic.fasta,197,Human
GCA_003664815.1_ASM366481v1_genomic.fasta,3180,Environment
GCA_024516645.1_ASM2451664v1_genomic.fasta,53,Animal
GCA_040984765.1_ASM4098476v1_genomic.fasta,5491,Human
GCA_014655835.1_ASM1465583v1_genomic.fasta,2692,Human
GCA_034739535.1_ASM3473953v1_genomic.fasta,1915,Human
GCA_033117115.1_PDT001958781.1_genomic.fasta,5097,Human
GCA_014286955.1_ASM1428695v1_genomic.fasta,1289,Human
GCA_026197555.1_ASM2619755v1_genomic.fasta,2571,Human
GCA_024517785.1_ASM2451778v1_genomic.fasta,105,Animal
GCA_040498885.1_ASM4049888v1_genomic.fasta,708,Animal
GCA_002811335.4_ASM281133v4_genomic.fasta,2583,Human
GCA_020169155.1_ASM2016915v1_genomic.fasta,3644,Animal
GCA_024517225.1_ASM2451722v1_genomic.fasta,3395,Animal
GCA_034742175.1_ASM3474217v1_genomic.fasta,3393,Environment
GCA_026624165.1_ASM2662416v1_genomic.fasta,575,Human
GCA_022010155.1_PDT001100901.1_genomic.fasta,3407,Human
