strain_1,strain_2,shared_components,Source_1,Source_2,Pair_Type
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_030398535.1_CPCKP4_genomic.fasta,1,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_037165405.1_ASM3716540v1_genomic.fasta,1,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_036866895.1_ASM3686689v1_genomic.fasta,1,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_037165105.1_ASM3716510v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_002934985.1_ASM293498v1_genomic.fasta,1,Animal,Animal,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_021494245.1_ASM2149424v1_genomic.fasta,1,Animal,Food,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_003346635.1_ASM334663v1_genomic.fasta,1,Animal,Food,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_036866905.1_ASM3686690v1_genomic.fasta,1,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_024988825.1_ASM2498882v1_genomic.fasta,1,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_024988855.1_ASM2498885v1_genomic.fasta,1,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_015209135.1_ASM1520913v1_genomic.fasta,1,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_024988915.1_ASM2498891v1_genomic.fasta,1,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_020592215.1_ASM2059221v1_genomic.fasta,1,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_037165045.1_ASM3716504v1_genomic.fasta,1,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_028883355.1_ASM2888335v1_genomic.fasta,2,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_028883335.1_ASM2888333v1_genomic.fasta,2,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_030398655.1_CPCKP10_genomic.fasta,1,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_025548395.1_ASM2554839v1_genomic.fasta,1,Animal,Animal,NonHuman-NonHuman
