strain_1,strain_2,shared_components,Source_1,Source_2,Pair_Type
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_004209275.1_ASM420927v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_016651895.1_ASM1665189v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_024989255.1_ASM2498925v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_033541695.1_ASM3354169v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_002189255.1_ASM218925v1_genomic.fasta,4,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_033540735.1_ASM3354073v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_035017105.1_ASM3501710v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_002189245.1_ASM218924v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_026312255.1_PDT001494787.1_genomic.fasta,4,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_040422695.1_ASM4042269v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_015265985.1_ASM1526598v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_024471235.1_PDT001370519.1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_004803325.1_ASM480332v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_009907615.1_ASM990761v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_002187105.1_ASM218710v1_genomic.fasta,4,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_004802965.1_ASM480296v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_003382185.1_ASM338218v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_002934985.1_ASM293498v1_genomic.fasta,GCA_030024865.1_ASM3002486v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_021494245.1_ASM2149424v1_genomic.fasta,GCA_033541695.1_ASM3354169v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_021494245.1_ASM2149424v1_genomic.fasta,GCA_040422695.1_ASM4042269v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_015209135.1_ASM1520913v1_genomic.fasta,GCA_033541695.1_ASM3354169v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_015209135.1_ASM1520913v1_genomic.fasta,GCA_033542425.1_ASM3354242v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_015209135.1_ASM1520913v1_genomic.fasta,GCA_029433685.1_ASM2943368v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_024988915.1_ASM2498891v1_genomic.fasta,GCA_900407225.1_De_novo_assembly_of_KCRI_isolate_R0009_566A_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883355.1_ASM2888335v1_genomic.fasta,GCA_002189175.1_ASM218917v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883355.1_ASM2888335v1_genomic.fasta,GCA_024989255.1_ASM2498925v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883355.1_ASM2888335v1_genomic.fasta,GCA_002189255.1_ASM218925v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883355.1_ASM2888335v1_genomic.fasta,GCA_026312255.1_PDT001494787.1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883355.1_ASM2888335v1_genomic.fasta,GCA_031033265.1_PDT001776407.1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883355.1_ASM2888335v1_genomic.fasta,GCA_009907615.1_ASM990761v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883355.1_ASM2888335v1_genomic.fasta,GCA_022964835.1_ASM2296483v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883355.1_ASM2888335v1_genomic.fasta,GCA_003382185.1_ASM338218v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883355.1_ASM2888335v1_genomic.fasta,GCA_030024865.1_ASM3002486v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_959610255.1_CRESA-KP144-220721_contigs_filtered.fa.gz_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_002186705.1_ASM218670v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_004209275.1_ASM420927v1_genomic.fasta,4,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_002934815.1_ASM293481v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_016651895.1_ASM1665189v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_002189175.1_ASM218917v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_026347375.1_PDT001493769.1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_024989255.1_ASM2498925v1_genomic.fasta,4,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_002189255.1_ASM218925v1_genomic.fasta,4,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_033540735.1_ASM3354073v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_024475125.1_PDT001370387.1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_002186855.1_ASM218685v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_035017105.1_ASM3501710v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_026312255.1_PDT001494787.1_genomic.fasta,4,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_015265985.1_ASM1526598v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_024471235.1_PDT001370519.1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_959609695.1_CRESA-KP228-merged_contigs_filtered.fa.gz_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_964207575.1_FFSG_57-PUS.1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_031033265.1_PDT001776407.1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_959609755.1_CRESA-16431-220705_contigs_filtered.fa.gz_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_015208935.1_ASM1520893v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_009907615.1_ASM990761v1_genomic.fasta,4,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_002187105.1_ASM218710v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_004802965.1_ASM480296v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_022964835.1_ASM2296483v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_003382185.1_ASM338218v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_028883335.1_ASM2888333v1_genomic.fasta,GCA_030024865.1_ASM3002486v1_genomic.fasta,4,Environment,Human,NonHuman-Human
GCA_025548395.1_ASM2554839v1_genomic.fasta,GCA_004209275.1_ASM420927v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_025548395.1_ASM2554839v1_genomic.fasta,GCA_964207575.1_FFSG_57-PUS.1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_025548395.1_ASM2554839v1_genomic.fasta,GCA_030024865.1_ASM3002486v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_030398485.1_CPCKP2_genomic.fasta,GCA_004209275.1_ASM420927v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_030398485.1_CPCKP2_genomic.fasta,GCA_964207575.1_FFSG_57-PUS.1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_030398485.1_CPCKP2_genomic.fasta,GCA_030024865.1_ASM3002486v1_genomic.fasta,3,Environment,Human,NonHuman-Human
GCA_041023095.1_ASM4102309v1_genomic.fasta,GCA_002189175.1_ASM218917v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_041023095.1_ASM4102309v1_genomic.fasta,GCA_024989255.1_ASM2498925v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_041023095.1_ASM4102309v1_genomic.fasta,GCA_002189255.1_ASM218925v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_041023095.1_ASM4102309v1_genomic.fasta,GCA_026312255.1_PDT001494787.1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_041023095.1_ASM4102309v1_genomic.fasta,GCA_959609695.1_CRESA-KP228-merged_contigs_filtered.fa.gz_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_041023095.1_ASM4102309v1_genomic.fasta,GCA_031033265.1_PDT001776407.1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_041023095.1_ASM4102309v1_genomic.fasta,GCA_959609755.1_CRESA-16431-220705_contigs_filtered.fa.gz_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_041023095.1_ASM4102309v1_genomic.fasta,GCA_009907615.1_ASM990761v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_041023095.1_ASM4102309v1_genomic.fasta,GCA_022964835.1_ASM2296483v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_041023095.1_ASM4102309v1_genomic.fasta,GCA_003382185.1_ASM338218v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_041023095.1_ASM4102309v1_genomic.fasta,GCA_030024865.1_ASM3002486v1_genomic.fasta,4,Animal,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_959610255.1_CRESA-KP144-220721_contigs_filtered.fa.gz_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_004209275.1_ASM420927v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_016651895.1_ASM1665189v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_024989255.1_ASM2498925v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_033541695.1_ASM3354169v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_002189255.1_ASM218925v1_genomic.fasta,4,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_033540735.1_ASM3354073v1_genomic.fasta,4,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_031047955.1_PDT001725765.1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_021876975.1_PDT001197669.1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_026312255.1_PDT001494787.1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_016652065.1_ASM1665206v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_015265985.1_ASM1526598v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_022309775.1_PDT001250573.1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_024471235.1_PDT001370519.1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_004803325.1_ASM480332v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_959609695.1_CRESA-KP228-merged_contigs_filtered.fa.gz_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_009907615.1_ASM990761v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_002187105.1_ASM218710v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_004802965.1_ASM480296v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986615.1_ASM3698661v1_genomic.fasta,GCA_030024865.1_ASM3002486v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_959610255.1_CRESA-KP144-220721_contigs_filtered.fa.gz_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_004209275.1_ASM420927v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_016651895.1_ASM1665189v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_024989255.1_ASM2498925v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_002189255.1_ASM218925v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_033540735.1_ASM3354073v1_genomic.fasta,4,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_021876975.1_PDT001197669.1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_026312255.1_PDT001494787.1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_016652065.1_ASM1665206v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_015265985.1_ASM1526598v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_022309775.1_PDT001250573.1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_024471235.1_PDT001370519.1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_004803325.1_ASM480332v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_959609695.1_CRESA-KP228-merged_contigs_filtered.fa.gz_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_009907615.1_ASM990761v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_002187105.1_ASM218710v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986375.1_ASM3698637v1_genomic.fasta,GCA_030024865.1_ASM3002486v1_genomic.fasta,3,Animal,Human,NonHuman-Human
GCA_036986635.1_ASM3698663v1_genomic.fasta,GCA_004209275.1_ASM420927v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986635.1_ASM3698663v1_genomic.fasta,GCA_016651895.1_ASM1665189v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986635.1_ASM3698663v1_genomic.fasta,GCA_024989255.1_ASM2498925v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986635.1_ASM3698663v1_genomic.fasta,GCA_002189255.1_ASM218925v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986635.1_ASM3698663v1_genomic.fasta,GCA_033540735.1_ASM3354073v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986635.1_ASM3698663v1_genomic.fasta,GCA_026312255.1_PDT001494787.1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986635.1_ASM3698663v1_genomic.fasta,GCA_015265985.1_ASM1526598v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986635.1_ASM3698663v1_genomic.fasta,GCA_024471235.1_PDT001370519.1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986635.1_ASM3698663v1_genomic.fasta,GCA_009907615.1_ASM990761v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986635.1_ASM3698663v1_genomic.fasta,GCA_002187105.1_ASM218710v1_genomic.fasta,3,Food,Human,NonHuman-Human
GCA_036986635.1_ASM3698663v1_genomic.fasta,GCA_030024865.1_ASM3002486v1_genomic.fasta,3,Food,Human,NonHuman-Human
