strain,Mash_cluster,Source
GCA_003583095.1_ASM358309v1_genomic.fasta,3079,Environment
GCA_002850355.1_ASM285035v1_genomic.fasta,5814,Human
GCA_009646175.1_ASM964617v1_genomic.fasta,8291,Environment
GCA_033123605.1_PDT001958010.1_genomic.fasta,5243,Animal
GCA_021879815.1_PDT001196552.1_genomic.fasta,3346,Food
GCA_034865005.1_ASM3486500v1_genomic.fasta,5669,Animal
GCA_041077555.1_ASM4107755v1_genomic.fasta,1454,Human
GCA_022532225.1_PDT001259938.1_genomic.fasta,5479,Environment
GCA_022995445.1_PDT001287309.1_genomic.fasta,4147,Human
GCA_028883365.1_ASM2888336v1_genomic.fasta,5565,Food
GCA_032461075.1_ASM3246107v1_genomic.fasta,4815,Environment
GCA_019677845.1_ASM1967784v1_genomic.fasta,9183,Animal
GCA_902705655.1_21875_KR438_genomic.fasta,2262,Human
GCA_900507185.1_19506_1_9_genomic.fasta,5212,Human
GCA_022532705.1_PDT001259626.1_genomic.fasta,315,Environment
GCA_022235565.1_PDT000442282.1_genomic.fasta,614,Human
GCA_039503495.1_ASM3950349v1_genomic.fasta,5456,Human
GCA_022332205.1_PDT000537781.1_genomic.fasta,3139,Animal
GCA_900172105.1_17261_7_2_genomic.fasta,8427,Animal
GCA_023981435.1_PDT001347388.1_genomic.fasta,3868,Environment
GCA_025026675.1_ASM2502667v1_genomic.fasta,959,Animal
GCA_023979805.1_PDT001347496.1_genomic.fasta,827,Animal
GCA_032135735.1_PDT001903087.1_genomic.fasta,2643,Human
GCA_035284385.1_ASM3528438v1_genomic.fasta,3636,Human
GCA_021796095.1_PDT001227487.1_genomic.fasta,6434,Human
GCA_034863465.1_ASM3486346v1_genomic.fasta,6777,Animal
GCA_900502905.1_18623_2_99_genomic.fasta,8987,Human
GCA_900506695.1_19506_1_28_genomic.fasta,3348,Human
GCA_003592215.1_ASM359221v1_genomic.fasta,6059,Human
GCA_032064245.1_PDT001905179.1_genomic.fasta,6098,Human
GCA_015627065.1_ASM1562706v1_genomic.fasta,8637,Human
GCA_022182745.1_PDT000724035.1_genomic.fasta,3580,Animal
GCA_022328025.1_PDT000535671.1_genomic.fasta,7682,Human
GCA_022160825.1_PDT001243473.1_genomic.fasta,2480,Human
GCA_900514625.1_18174_6_150_genomic.fasta,298,Human
GCA_022790165.1_ASM2279016v1_genomic.fasta,9253,Environment
GCA_022202605.1_PDT000685435.1_genomic.fasta,2908,Animal
GCA_014101135.1_ASM1410113v1_genomic.fasta,5784,Environment
GCA_013734035.1_ASM1373403v1_genomic.fasta,5654,Environment
GCA_034864305.1_ASM3486430v1_genomic.fasta,2709,Animal
GCA_035829815.1_ASM3582981v1_genomic.fasta,2770,Animal
GCA_021974095.1_PDT001011649.1_genomic.fasta,3606,Human
GCA_035830795.1_ASM3583079v1_genomic.fasta,1671,Animal
GCA_956481405.1_SE45067-UR-KP-190228_contigs_filtered.fa.gz_genomic.fasta,7713,Human
GCA_021865595.1_PDT001207411.1_genomic.fasta,8402,Food
GCA_026549475.1_PDT001505469.1_genomic.fasta,6581,Environment
GCA_036957505.1_ASM3695750v1_genomic.fasta,1374,Animal
GCA_035829435.1_ASM3582943v1_genomic.fasta,3043,Animal
GCA_900560245.1_9716_2_6_genomic.fasta,4800,Human
GCA_021865475.1_PDT001207417.1_genomic.fasta,5617,Food
GCA_021137715.1_ASM2113771v1_genomic.fasta,6326,Human
GCA_033551655.1_PDT001977474.1_genomic.fasta,2315,Animal
GCA_019679015.1_ASM1967901v1_genomic.fasta,2905,Animal
GCA_033122065.1_PDT001958247.1_genomic.fasta,5977,Human
GCA_900512045.2_18174_4_129_genomic.fasta,6050,Human
GCA_022202305.1_PDT000685487.1_genomic.fasta,4827,Animal
GCA_900511435.1_17870_5_23_genomic.fasta,3637,Human
GCA_022116235.1_PDT001244706.1_genomic.fasta,5099,Human
GCA_031085185.1_ASM3108518v1_genomic.fasta,7303,Human
GCA_009661455.2_ASM966145v2_genomic.fasta,8039,Human
GCA_905218905.2_AI2601v1_cp_genomic.fasta,8038,Human
GCA_032042295.1_PDT001903314.1_genomic.fasta,3529,Human
GCA_013282295.1_ASM1328229v1_genomic.fasta,689,Environment
GCA_022203625.1_PDT000674653.1_genomic.fasta,8399,Human
GCA_009661095.1_ASM966109v1_genomic.fasta,7281,Human
GCA_022378235.1_PDT000674670.1_genomic.fasta,2540,Environment
GCA_034865145.1_ASM3486514v1_genomic.fasta,726,Animal
GCA_016527085.1_ASM1652708v1_genomic.fasta,2821,Human
GCA_956465435.1_25_P2_5_genomic.fasta,3020,Animal
GCA_032721395.1_PDT001927031.1_genomic.fasta,5798,Human
GCA_003592035.1_ASM359203v1_genomic.fasta,6226,Human
GCA_023979385.1_PDT001347526.1_genomic.fasta,9227,Animal
GCA_017595945.1_ASM1759594v1_genomic.fasta,4732,Animal
GCA_900172665.1_18090_4_61_genomic.fasta,5141,Environment
GCA_035829695.1_ASM3582969v1_genomic.fasta,1085,Animal
GCA_040539575.1_ASM4053957v1_genomic.fasta,6913,Human
GCA_035064045.1_ASM3506404v1_genomic.fasta,2777,Environment
GCA_021976775.1_PDT001011440.1_genomic.fasta,5083,Human
GCA_018283615.1_ASM1828361v1_genomic.fasta,2979,Human
GCA_905333845.2_AI2908v1_cp_genomic.fasta,3236,Human
GCA_900511675.1_17870_5_61_genomic.fasta,923,Human
GCA_023612395.1_ASM2361239v1_genomic.fasta,9095,Environment
GCA_013791265.1_ASM1379126v1_genomic.fasta,9047,Environment
GCA_022144765.1_PDT001244633.1_genomic.fasta,5034,Human
GCA_022116955.1_PDT001244397.1_genomic.fasta,5095,Human
GCA_033123425.1_PDT001958022.1_genomic.fasta,579,Human
GCA_031010345.1_PDT001843378.1_genomic.fasta,1181,Human
GCA_036951825.1_ASM3695182v1_genomic.fasta,2201,Animal
GCA_019678715.1_ASM1967871v1_genomic.fasta,87,Animal
GCA_022789905.1_ASM2278990v1_genomic.fasta,1058,Environment
GCA_021862025.1_PDT001208227.1_genomic.fasta,549,Human
GCA_023527605.1_PDT001313870.1_genomic.fasta,9231,Animal
GCA_022790185.1_ASM2279018v1_genomic.fasta,5242,Environment
GCA_956480735.1_SP06043-BL-KP-190305_contigs_filtered.fa.gz_genomic.fasta,8053,Human
GCA_019677915.1_ASM1967791v1_genomic.fasta,5887,Animal
GCA_021972575.1_PDT001013406.1_genomic.fasta,3105,Human
GCA_021863185.1_PDT001208183.1_genomic.fasta,6873,Human
GCA_021862985.1_PDT001208193.1_genomic.fasta,1257,Human
GCA_019678075.1_ASM1967807v1_genomic.fasta,8421,Animal
GCA_009646305.1_ASM964630v1_genomic.fasta,9074,Environment
GCA_032720775.1_PDT001927055.1_genomic.fasta,5562,Human
GCA_022790505.1_ASM2279050v1_genomic.fasta,5187,Environment
GCA_022199165.1_PDT000708340.1_genomic.fasta,5664,Animal
GCA_021926745.1_PDT001091810.1_genomic.fasta,6781,Human
GCA_022113575.1_PDT001245354.1_genomic.fasta,179,Human
GCA_022183945.1_PDT000723811.1_genomic.fasta,8760,Human
GCA_025052315.1_PDT001384685.1_genomic.fasta,6920,Animal
GCA_021918605.1_PDT001092311.1_genomic.fasta,2483,Human
GCA_034863885.1_ASM3486388v1_genomic.fasta,8725,Animal
GCA_034863785.1_ASM3486378v1_genomic.fasta,2909,Animal
GCA_013895695.1_ASM1389569v1_genomic.fasta,572,Animal
GCA_900510525.1_17870_2_77_genomic.fasta,7262,Human
GCA_025877125.1_PDT001467988.1_genomic.fasta,4751,Human
GCA_025259715.1_ASM2525971v1_genomic.fasta,7900,Animal
GCA_022198845.1_PDT000708375.1_genomic.fasta,1044,Animal
GCA_032596255.1_ASM3259625v1_genomic.fasta,5308,Human
GCA_021856785.1_PDT001209239.1_genomic.fasta,8352,Animal
GCA_018128445.1_ASM1812844v1_genomic.fasta,5560,Human
GCA_017597175.1_ASM1759717v1_genomic.fasta,4747,Animal
GCA_017639065.1_ASM1763906v1_genomic.fasta,4077,Food
GCA_014105245.1_ASM1410524v1_genomic.fasta,8767,Animal
GCA_900173735.1_20925_2_116_genomic.fasta,8334,Environment
GCA_032128075.1_PDT001903470.1_genomic.fasta,1393,Human
GCA_019679245.1_ASM1967924v1_genomic.fasta,1319,Animal
GCA_022790205.1_ASM2279020v1_genomic.fasta,6485,Environment
