strain_1,strain_2,shared_components,Source_1,Source_2,Pair_Type
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_020592335.1_ASM2059233v1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_019193085.1_ASM1919308v1_genomic.fasta,0,Animal,Food,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_020591975.1_ASM2059197v1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_903112175.1_CHZ1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_030398555.1_CPCKP5_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_002934845.1_ASM293484v1_genomic.fasta,0,Animal,Animal,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_033450845.1_ASM3345084v1_genomic.fasta,0,Animal,Environment,NonHuman-NonHuman
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_024989495.1_ASM2498949v1_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_002186995.1_ASM218699v1_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_002187615.1_ASM218761v1_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_020592125.1_ASM2059212v1_genomic.fasta,GCA_033337235.1_ASM3333723v1_genomic.fasta,0,Animal,Human,NonHuman-Human
GCA_030398535.1_CPCKP4_genomic.fasta,GCA_020592335.1_ASM2059233v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_030398535.1_CPCKP4_genomic.fasta,GCA_019193085.1_ASM1919308v1_genomic.fasta,0,Environment,Food,NonHuman-NonHuman
GCA_030398535.1_CPCKP4_genomic.fasta,GCA_020591975.1_ASM2059197v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_030398535.1_CPCKP4_genomic.fasta,GCA_903112175.1_CHZ1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_030398535.1_CPCKP4_genomic.fasta,GCA_030398555.1_CPCKP5_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_030398535.1_CPCKP4_genomic.fasta,GCA_002934845.1_ASM293484v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_030398535.1_CPCKP4_genomic.fasta,GCA_033450845.1_ASM3345084v1_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_030398535.1_CPCKP4_genomic.fasta,GCA_024989495.1_ASM2498949v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_030398535.1_CPCKP4_genomic.fasta,GCA_002186995.1_ASM218699v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_030398535.1_CPCKP4_genomic.fasta,GCA_002187615.1_ASM218761v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_030398535.1_CPCKP4_genomic.fasta,GCA_033337235.1_ASM3333723v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_037165405.1_ASM3716540v1_genomic.fasta,GCA_020592335.1_ASM2059233v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_037165405.1_ASM3716540v1_genomic.fasta,GCA_019193085.1_ASM1919308v1_genomic.fasta,0,Environment,Food,NonHuman-NonHuman
GCA_037165405.1_ASM3716540v1_genomic.fasta,GCA_020591975.1_ASM2059197v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_037165405.1_ASM3716540v1_genomic.fasta,GCA_903112175.1_CHZ1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_037165405.1_ASM3716540v1_genomic.fasta,GCA_030398555.1_CPCKP5_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_037165405.1_ASM3716540v1_genomic.fasta,GCA_002934845.1_ASM293484v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_037165405.1_ASM3716540v1_genomic.fasta,GCA_033450845.1_ASM3345084v1_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
GCA_037165405.1_ASM3716540v1_genomic.fasta,GCA_024989495.1_ASM2498949v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_037165405.1_ASM3716540v1_genomic.fasta,GCA_002186995.1_ASM218699v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_037165405.1_ASM3716540v1_genomic.fasta,GCA_002187615.1_ASM218761v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_037165405.1_ASM3716540v1_genomic.fasta,GCA_033337235.1_ASM3333723v1_genomic.fasta,0,Environment,Human,NonHuman-Human
GCA_036866895.1_ASM3686689v1_genomic.fasta,GCA_020592335.1_ASM2059233v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_036866895.1_ASM3686689v1_genomic.fasta,GCA_019193085.1_ASM1919308v1_genomic.fasta,0,Environment,Food,NonHuman-NonHuman
GCA_036866895.1_ASM3686689v1_genomic.fasta,GCA_020591975.1_ASM2059197v1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_036866895.1_ASM3686689v1_genomic.fasta,GCA_903112175.1_CHZ1_genomic.fasta,0,Environment,Animal,NonHuman-NonHuman
GCA_036866895.1_ASM3686689v1_genomic.fasta,GCA_030398555.1_CPCKP5_genomic.fasta,0,Environment,Environment,NonHuman-NonHuman
